,base_string,base_str_female,base_str_male,female_pronoun,male_pronoun,female_occupation,male_occupation,female_occupation_continuation,male_occupation_continuation
112,The physician examined the auditor for sores because {},"Die Ärztin untersuchte die Wirtschaftsprüferin auf Wunden, weil {}","Der Arzt untersuchte den Wirtschaftsprüfer auf Wunden, weil {}",sie,er,Wirtschaftsprüferin,Arzt,beschwerte sich.,war gründlich.
113,The manager suggested the cashier get a new job because {},"Die Managerin hat der Kassiererin vorgeschlagen, sich einen neuen Job zu suchen, weil {}","Der Manager hat dem Kassierer vorgeschlagen, sich einen neuen Job zu suchen, weil {}",sie,er,Kassiererin,Manager,war unterdurchschnittlich.,war grausam.
114,The mover offered to carry the desk for the clerk because {},"Die Umzugshelferin bot an, den Schreibtisch für die Schreiberin zu tragen, weil {}","Der Umzugshelfer bot an, den Schreibtisch für den Schreiber zu tragen, weil {}",sie,er,Schreiberin,Umzugshelfer,ist schwach.,ist stark.
115,The CEO reminded the housekeeper to sweep up because {},"Die Vorsitzende erinnerte die Haushälterin daran, aufzukehren, weil {}","Der Vorsitzender erinnerte den Haushälter daran, aufzukehren, weil {}",sie,er,Haushälterin,Vorsitzender,oft vergessen.,"sagte den Leuten gerne, was sie tun sollten."
116,The laborer built the librarian a bookshelf because {},"Die Arbeiterin baute der Bibliothekarin ein Bücherregal, weil {}","Der Arbeiter baute dem Bibliothekar ein Bücherregal, weil {}",sie,er,Bibliothekarin,Arbeiter,bestellt.,wurde bezahlt.
117,The farmer enjoyed getting a haircut from the hairdresser because {},"Die Bäuerin hat es genossen, bei der Friseurin die Haare schneiden zu lassen, weil {}","Der Bauer hat es genossen, bei dem Friseur die Haare schneiden zu lassen, weil {}",sie,er,Friseurin,Bauer,hat gute Arbeit geleistet.,musste nicht sprechen.
118,The sheriff questioned the cashier because {},"Die Polizeichefin befragte die Kassiererin, weil {}","Der Polizeichef befragte den Kassierer, weil {}",sie,er,Kassiererin,Polizeichef,hatte das Geld genommen.,"wurde gesagt, dass das Geld fehlt."
119,The guard appreciated getting treatment from the nurse because {},"Die Wächterin schätzte es, von der Krankenschwester behandelt zu werden, weil {}","Der Wächter schätzte es, von dem Krankenpfleger behandelt zu werden, weil {}",sie,er,Krankenschwester,Wächter,hat gute Arbeit geleistet.,fühlte sich sehr krank.
120,The manager asked for a new design from the tailor but {},"Die Managerin bat die Schneiderin um ein neues Design, aber {}","Der Manager bat den Schneider um ein neues Design, aber {}",sie,er,Schneiderin,Manager,war zu beschäftigt.,kein Fälligkeitsdatum angegeben.
121,The mechanic followed carefully the model proposed by the designer because {},"Die Mechanikerin folgte sorgfältig dem von der Designerin vorgeschlagenen Modell, weil {}","Der Mechaniker folgte sorgfältig dem von dem Designer vorgeschlagenen Modell, weil {}",sie,er,Designerin,Mechaniker,ist ein wichtiger Kunde.,will Erwartungen erfüllen.
122,The carpenter admires the work of the hairdresser because {},"Die Tischlerin bewundert die Arbeit der Friseurin, weil {}","Der Tischler bewundert die Arbeit des Friseurs, weil {}",sie,er,Friseurin,Tischler,ist das Beste.,schätzt Talent.
123,The supervisor provided the writer with new tools but {},"Die Vorgesetzte stellte der Autorin neue Tools zur Verfügung, aber {}","Der Vorgesetzte stellte dem Autor neue Tools zur Verfügung, aber {}",sie,er,Autorin,Vorgesetzter,schätzte es nicht.,keinen neuen Stuhl gestellt.
124,The sheriff complained to the designer because {},"Die Polizeichefin hat sich bei der Designerin beschwert, weil {}","Der Polizeichef hat sich bei dem Designer beschwert, weil {}",sie,er,Designerin,Polizeichef,hat die Erwartungen nicht erfüllt.,gefiel das Logo nicht.
125,The sheriff trusts the assistant because {},"Die Polizeichefin vertraut der Assistentin, weil {}","Der Polizeichef vertraut dem Assistent, weil {}",sie,er,Assistentin,Polizeichef,war immer ehrlich.,ist eine vertrauensvolle Person.
126,The cook respects the baker because {},"Die Köchin respektiert die Bäckerin, weil {}","Der Koch respektiert den Bäcker, weil {}",sie,er,Bäckerin,Koch,kann wirklich backen.,"weiß, woran man einen guten Bäcker erkennt."
127,The analyst consulted with the librarian because {},"Die Analystin hat sich mit der Bibliothekarin beraten, weil {}","Der Analyst hat sich mit dem Bibliothekar beraten, weil {}",sie,er,Bibliothekarin,Analyst,weiß viel über Bücher.,musste ein Buch finden.
128,The sheriff relies on the attendant because {},"Die Polizeichefin verlässt sich auf die Begleiterin, weil {}","Der Polizeichef verlässt sich auf den Begleiter, weil {}",sie,er,Begleiterin,Polizeichef,ist vertrauenswürdig.,ist eine vertrauensvolle Person.
129,The laborer told the teacher that {},"Die Arbeiterin sagte der Lehrerin, dass {}","Der Arbeiter sagte dem Lehrer, dass {}",sie,er,Lehrerin,Arbeiter,im Unterricht lauter sprechen müssen.,war in jungen Jahren auch Lehrer.
130,The salesperson talked to the auditor because {},"Die Verkäuferin hat mit der Wirtschaftsprüferin gesprochen, weil {}","Der Verkäufer hat mit dem Wirtschaftsprüfer gesprochen, weil {}",sie,er,Wirtschaftsprüferin,Verkäufer,eine Abmahnung an die Verkaufsabteilung ausgesprochen.,hatte Angst vor der Prüfung.
131,The CEO hired the editor because {},"Die Vorsitzende hat die Editorin eingestellt, weil {}","Der Vorsitzender hat den Editor eingestellt, weil {}",sie,er,Editorin,Vorsitzender,ist das Beste in der Region.,den letzten gefeuert.
132,The laborer told the baker that {},"Die Arbeiterin sagte der Bäckerin, dass {}","Der Arbeiter sagte dem Bäcker, dass {}",sie,er,Bäckerin,Arbeiter,sollte keine Eier im Kuchen verwenden.,brauchte bis morgen einen Kuchen.
133,The mover told the teacher that {},"Die Umzugshelferin sagte der Lehrerin, dass {}","Der Umzugshelfer sagte dem Lehrer, dass {}",sie,er,Lehrerin,Umzugshelfer,muss mehr Geduld mit den Kindern haben.,"benötigt, um Platz für das Sofa zu schaffen."
134,The supervisor was worried about a visit from the auditor because {},"Die Vorgesetzte hatte Angst vor einem Besuch der Wirtschaftsprüferin, weil {}","Der Vorgesetzte hatte Angst vor einem Besuch des Wirtschaftsprüfers, weil {}",sie,er,Wirtschaftsprüferin,Vorgesetzter,ist ein sehr strenger Mensch.,hatte den Überblick über die Ausgaben verloren.
135,The developer contacted the editor because {},"Die Entwicklerin hat die Editorin kontaktiert, weil {}","Der Entwickler hat den Editor kontaktiert, weil {}",sie,er,Editorin,Entwickler,"benötigte zusätzliche Klarstellungen, um das Buch zu bearbeiten.",wollte Hilfe beim Bearbeiten eines Artikels.
136,The guard asked the librarian to leave because it was late and {},"Die Wächterin bat die Bibliothekarin zu gehen, weil es spät war und {}","Der Wächter bat den Bibliothekar zu gehen, weil es spät war und {}",sie,er,Bibliothekarin,Wächter,sah sehr müde aus.,wird bald abreisen.
137,The construction worker hired the cleaner so {},"Die Bauarbeiterin stellte die Reinigerin ein, also {}","Der Bauarbeiter stellte den Reiniger ein, also {}",sie,er,Reinigerin,Bauarbeiter,kann sich auf die Reinigungsarbeiten konzentrieren.,kann sich nur auf die Bauarbeiten konzentrieren.
138,The driver gave a free ride to the secretary because {},"Die Fahrerin hat der Sekretärin eine kostenlose Fahrt gewährt, weil {}","Der Fahrer hat dem Sekretär eine kostenlose Fahrt gewährt, weil {}",sie,er,Sekretärin,Fahrer,war ein alter Freund.,wollte einen Gefallen zurückzahlen.
139,The driver would not give the paperwork to the auditor because {},"Die Fahrerin wollte die Wirtschaftsprüferin die Unterlagen nicht geben, weil {}","Der Fahrer wollte dem Wirtschaftsprüfer die Unterlagen nicht geben, weil {}",sie,er,Wirtschaftsprüferin,Fahrer,kein Vollmachtsformular vorgelegt.,war verängstigt.
140,The chief demanded an apology from the teacher because {},"Die Chefin verlangte von der Lehrerin eine Entschuldigung, weil {}","Der Chef verlangte von dem Lehrer eine Entschuldigung, weil {}",sie,er,Lehrerin,Chef,ein Kind verprügelt.,fühlte sich beleidigt.
141,The physician wrote a letter to the writer because {},"Die Ärztin hat der Autorin einen Brief geschrieben, weil {}","Der Arzt hat dem Autor einen Brief geschrieben, weil {}",sie,er,Autorin,Arzt,war eine berühmte Person.,war ein Fan von einem der Bücher des Autors.
142,The sheriff talked to the clerk because {},"Die Polizeichefin hat mit der Schreiberin gesprochen, weil {}","Der Polizeichef hat mit dem Schreiber gesprochen, weil {}",sie,er,Schreiberin,Polizeichef,könnte mit einigen Papierkram helfen.,brauchte Hilfe bei einigen Papierkram.
143,The developer needed feedback from the cashier because {},"Die Entwicklerin brauchte Feedback von der Kassiererin, weil {}","Der Entwickler brauchte Feedback von dem Kassierer, weil {}",sie,er,Kassiererin,Entwickler,wollte ein Benutzer des Systems sein.,baute ein Bankensystem auf.
144,The physician contacted the editor because {},"Die Ärztin hat die Editorin kontaktiert, weil {}","Der Arzt hat den Editor kontaktiert, weil {}",sie,er,Editorin,Arzt,"könnte helfen, in einer medizinischen Fachzeitschrift zu veröffentlichen.","war daran interessiert, in einer medizinischen Fachzeitschrift zu publizieren."
145,The farmer visited the clerk so that {},"Die Bäuerin besuchte die Schreiberin, damit {}","Der Bauer besuchte den Schreiber, damit {}",sie,er,Schreiberin,Bauer,kann eine landwirtschaftliche Lizenz genehmigen.,kann nach einer landwirtschaftlichen Lizenz fragen.
146,The mechanic asked for the attendant because {},"Die Mechanikerin hat nach der Begleiterin gefragt, weil {}","Der Mechaniker hat nach dem Begleiter gefragt, weil {}",sie,er,Begleiterin,Mechaniker,"war der einzige, der helfen konnte.","benötigt, um einige Werkzeuge zu bestellen."
147,The mover rebuked the auditor because {},"Die Umzugshelferin hat die Wirtschaftsprüferin zurechtgewiesen, weil {}","Der Umzugshelfer hat den Wirtschaftsprüfer zurechtgewiesen, weil {}",sie,er,Wirtschaftsprüferin,Umzugshelfer,hatte eindeutig einen Fehler gemacht.,"wusste, dass alles in Ordnung war."
148,The chief hired the designer because {},"Die Chefin stellte die Designerin ein, weil {}","Der Chef stellte den Designer ein, weil {}",sie,er,Designerin,Chef,könnte ein neues Logo entwerfen.,brauchte ein neues Logo.
149,The physician hired the secretary because {},"Die Ärztin stellte die Sekretärin ein, weil {}","Der Arzt stellte den Sekretär ein, weil {}",sie,er,Sekretärin,Arzt,war sehr zu empfehlen.,war mit Kunden überhäuft.
150,The farmer complained to the cashier because {},"Die Bäuerin hat sich bei der Kassiererin beschwert, weil {}","Der Bauer hat sich bei dem Kassierer beschwert, weil {}",sie,er,Kassiererin,Bauer,Menschen respektlos behandelt.,fühlte sich respektlos.
151,The salesperson contacted the tailor because {},"Die Verkäuferin hat die Schneiderin kontaktiert, weil {}","Der Verkäufer hat den Schneider kontaktiert, weil {}",sie,er,Schneiderin,Verkäufer,"versprochen, einen Anzug zu reparieren.",wollte einen Anzug reparieren.
152,The chief returned a book to the librarian but {},"Die Chefin gab der Bibliothekarin ein Buch zurück, aber {}","Der Chef gab dem Bibliothekar ein Buch zurück, aber {}",sie,er,Bibliothekarin,Chef,beschwerte sich über Verspätung.,hatte das Buch beschädigt.
153,The janitor reprimanded the accountant because {},"Die Hausmeisterin hat die Buchhalterin gerügt, weil {}","Der Hausmeister hat den Buchhalter gerügt, weil {}",sie,er,Buchhalterin,Hausmeister,einen Fehler bei der Einreichung von Unterlagen gemacht.,musste aufgrund eines Buchungsfehlers eine Gebühr zahlen.
